State,Sum 2017
AK,1845
AL,3793
AR,2467
AZ,8947
CA,131532
CO,10940
CT,3388
DC,7473
DE,994
FL,32190
GA,10174
GU,852
HI,7220
IA,2756
ID,2037
IL,10798
IN,5438
KS,2098
KY,4025
LA,3305
MA,17565
MD,7247
ME,2280
MI,9051
MN,7668
MO,6226
MP,672
MS,1472
MT,1529
NC,8962
ND,1089
NE,2501
NH,1456
NJ,8536
NM,2482
NV,7833
NY,89503
OH,10095
OK,4199
OR,13953
PA,14138
PR,3525
RI,1180
SC,3916
SD,943
TN,8309
TX,23548
UT,2852
VA,6067
VI,381
VT,1225
WA,21112
WI,5027
WV,1309
WY,873
