State,Sum 2018
AK,16499062
AL,88644604
AR,47678011
AS,1305902
AZ,130664390
CA,1108052762
CO,97388022
CT,113283445
DC,59044207
DE,25234399
FL,364586803
GA,205129210
GU,5638831
HI,37889685
IA,64402355
ID,27178600
IL,375377689
IN,127336240
KS,50143684
KY,90763540
LA,133657352
MA,234716749
MD,139926166
ME,44087745
MI,260045169
MN,114367232
MO,138730808
MP,1579883
MS,54145250
MT,20284902
NC,162086087
ND,14297810
NE,39683680
NH,29848929
NJ,196477024
NM,42321029
NV,56848163
NY,760463271
OH,334046962
OK,56707001
OR,100880203
PA,385601824
PR,113282882
RI,35588453
SC,75667026
SD,15579545
TN,110372995
TX,482727058
UT,46038528
VA,125644922
VI,3350525
VT,20032036
WA,163856211
WI,124110430
WV,42002735
WY,11504337
