Year,State,Award Amount
2003,AK,3466000
2003,AK,112000
2003,AK,3000000
2003,AK,731120
2003,AK,2330000
2003,AK,78000
2003,AK,1114921
2004,AK,2954637
2004,AK,126748
2004,AK,3017068
2004,AK,2285000
2004,AK,85231
2004,AK,1119105
2004,AK,305000
2005,AK,136608
2005,AK,103425
2005,AK,196349
2005,AK,646561
2005,AK,81886
2005,AK,296714
2005,AK,245729
2005,AK,141168
2005,AK,357474
2005,AK,69720
2005,AK,26340
2005,AK,46464
2005,AK,102500
2005,AK,32824
2005,AK,73791
2005,AK,50966
2005,AK,25680
2005,AK,2817522
2005,AK,119198
2005,AK,3000000
2005,AK,757675
2005,AK,2162050
2005,AK,83573
2005,AK,1075967
2005,AK,288876
2006,AK,26256
2006,AK,103425
2006,AK,203465
2006,AK,646564
2006,AK,121740
2006,AK,139764
2006,AK,81886
2006,AK,296714
2006,AK,245629
2006,AK,89100
2006,AK,141168
2006,AK,357474
2006,AK,18460
2006,AK,32824
2006,AK,73791
2006,AK,52700
2006,AK,26340
2006,AK,46464
2006,AK,102499
2006,AK,33564
2006,AK,50966
2006,AK,2548827
2006,AK,119463
2006,AK,3001389
2006,AK,716210
2006,AK,1941992
2006,AK,83168
2006,AK,1008847
2006,AK,257827
2007,AK,103425
2007,AK,25920
2007,AK,203464
2007,AK,646563
2007,AK,258048
2007,AK,81886
2007,AK,245629
2007,AK,296714
2007,AK,141168
2007,AK,357474
2007,AK,18460
2007,AK,32824
2007,AK,73791
2007,AK,28212
2007,AK,26340
2007,AK,46463
2007,AK,102499
2007,AK,50966
2007,AK,36480
2007,AK,63312
2007,AK,2566247
2007,AK,121006
2007,AK,3000000
2007,AK,1936826
2007,AK,83752
2007,AK,1003185
2007,AK,258593
2008,AK,104665
2008,AK,274752
2008,AK,193485
2008,AK,84578
2008,AK,141168
2008,AK,88212
2008,AK,27600
2008,AK,361073
2008,AK,657475
2008,AK,245629
2008,AK,296714
2008,AK,207790
2008,AK,18460
2008,AK,102499
2008,AK,50965
2008,AK,102312
2008,AK,32824
2008,AK,96228
2008,AK,46463
2008,AK,73791
2008,AK,28212
2008,AK,26340
2008,AK,2506211
2008,AK,121740
2008,AK,3000000
2008,AK,915440
2008,AK,1869588
2008,AK,83451
2008,AK,970556
2008,AK,248288
2009,AK,104665
2009,AK,297120
2009,AK,84578
2009,AK,141168
2009,AK,120288
2009,AK,361073
2009,AK,646563
2009,AK,245629
2009,AK,296714
2009,AK,96743
2009,AK,203464
2009,AK,18460
2009,AK,102499
2009,AK,50965
2009,AK,107280
2009,AK,32824
2009,AK,55368
2009,AK,100884
2009,AK,46463
2009,AK,26350
2009,AK,73791
2009,AK,28212
2009,AK,26340
2009,AK,2867778
2009,AK,122640
2009,AK,3003199
2009,AK,19600000
2009,AK,757790
2009,AK,1888650
2009,AK,83240
2009,AK,1081372
2010,AK,120864
2010,AK,104665
2010,AK,203464
2010,AK,646563
2010,AK,298560
2010,AK,214392
2010,AK,84578
2010,AK,296714
2010,AK,245629
2010,AK,502241
2010,AK,11542
2010,AK,18460
2010,AK,48090
2010,AK,32824
2010,AK,50965
2010,AK,73791
2010,AK,26350
2010,AK,98208
2010,AK,28212
2010,AK,55584
2010,AK,98472
2010,AK,13170
2010,AK,102499
2010,AK,104496
2010,AK,3128431
2010,AK,125846
2010,AK,3000000
2010,AK,2036598
2010,AK,82971
2010,AK,1068582
2011,AK,117492
2011,AK,104665
2011,AK,203464
2011,AK,646563
2011,AK,290232
2011,AK,84578
2011,AK,208404
